random_index,source_id,ra,dec,parallax,parallax_over_error,pmdec,pmdec_error,pmra,pmra_error,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp
286020539,2927217540206269184,101.09214172236653,-20.488741623804152,0.8952040468634811,1.6579548,6.755436958643661,0.49117482,-2.934718343001861,0.33026496,2.5878017,19.064354,19.757475,17.821447,1.9360275
1564439068,2927218094256610816,101.0167029753223,-20.493619599492753,0.9804287295936552,12.0474825,1.7238607770731735,0.08313208,-2.2918055477318786,0.04922466,1.1336614,16.749134,14.764522,14.061746,0.70277596
1053742102,2927236476722722048,101.67725356636268,-20.32237297521404,0.940223673946144,7.462372,0.9351062899044655,0.11510689,-4.482071290716849,0.09614165,3.5695872,15.769906,15.691897,14.64913,1.0427675
409638449,2927236506778314880,101.68516928124478,-20.316381063815218,1.0185624057728806,2.4121127,-20.75389055058816,0.3325548,-4.756571087307981,0.32240406,1.0361832,19.893555,20.84257,18.985088,1.857481
1475518867,2927236575497795968,101.72305809930715,-20.311701208216686,0.7371190527659819,8.231214,0.7533259466836529,0.0750966,2.705945183800674,0.06893128,0.9930373,17.664099,18.37429,16.847483,1.5268078
952035683,2927236609857534464,101.701611737006,-20.310363700158657,1.2701733536590403,4.8219757,1.1240991488626755,0.2213949,-1.9181957284064626,0.19752446,1.0497707,19.209074,20.39395,18.17593,2.2180195
1370530302,2927256748960937088,101.3843191855639,-20.136430451674627,0.7870002271371155,3.1061027,2.401099382490344,0.21240383,-1.1005151777892552,0.19705516,1.3719221,,,14.95865,
1613730839,2927256748966059776,101.38444464753822,-20.136039214771717,0.9451584000803678,30.013428,-2.0932878689613297,0.027621487,5.289925450281544,0.023440253,1.0268536,15.306314,15.755967,14.636123,1.1198444
1480403281,2927199089025324288,101.24233902471286,-20.722588183097148,2.2330014403566327,16.827488,-11.348360964352052,0.119793385,-11.240276247811368,0.081507154,1.3077362,17.931856,19.305033,16.771986,2.5330467
1341141981,2927199333843600768,101.24644077046172,-20.70537576134913,1.5320487573681882,3.1372862,-2.352885198222473,0.41945332,-1.667171072097597,0.26645708,0.9898851,20.230618,21.27607,19.182392,2.0936775
309882188,2927218266059583744,101.06556063128798,-20.492352113794908,1.9144716583770274,13.268706,-9.283468668202968,0.13618362,-17.079163087854553,0.09045441,0.99175024,18.606518,19.961327,17.47498,2.4863472
174566077,2927218575297027584,101.06317235964957,-20.454994401602924,0.8790279893298459,31.958935,-0.6314024095814156,0.023998912,2.662494735749136,0.017174514,1.1242582,15.365126,15.785819,14.780133,1.0056858
301021068,2927218639714014976,101.06042181315759,-20.455403544774345,1.737966072396062,5.256307,-5.625825184332968,0.28734168,2.5502275588423746,0.18467714,1.0020238,19.60868,21.255938,18.407528,2.8484097
809875777,2927236889037697024,101.68814904505709,-20.285245738222294,1.4491159869574741,3.5394926,3.8250497071611966,0.3424978,-2.960813241413687,0.2877463,1.0513182,19.77382,21.098894,18.61622,2.4826736
1532167511,2927237266991656960,101.71594986241955,-20.264136869429805,1.1390032201717728,0.53487265,-0.06048317512773197,1.5556799,0.623598186625857,1.1956236,1.0039212,20.837543,21.071342,19.950891,1.120451
218181261,2927202593716376704,101.27711974282954,-20.593857816542958,0.7458038809750893,4.8189163,1.250817458989077,0.1457447,-1.4082543921370718,0.09631872,1.0286489,18.744669,19.764444,17.811369,1.9530754
213656840,2927202872894041856,101.34081932204617,-20.569282402197867,1.3949947474293114,1.1496919,2.585193059837388,1.091971,-0.5137829505147529,0.75006646,0.92646205,20.752182,20.823103,19.726656,1.096447
616789858,2927203285213388416,101.3341848008404,-20.5394723745535,2.0249592198462425,54.042835,7.532189109045985,0.033372603,-15.86905385321725,0.023691352,0.9914263,16.096277,16.953608,15.187566,1.7660418
299861394,2927203834969312256,101.16923288703053,-20.613535175155338,1.3586948977644924,69.83143,-1.1640893277451054,0.017225297,-4.489132237846413,0.0115987,1.0046773,14.802381,15.208701,14.229532,0.9791689
175806804,2927223450076616320,101.0933627868782,-20.37830906016213,1.3983823069345747,10.138373,-11.38635180110407,0.13111903,10.285290478961311,0.087032184,1.0240905,18.45872,19.858759,17.286114,2.5726452
1038656392,2927242661467930240,101.60380012566796,-20.145850416198538,1.237966516648288,3.246839,-3.6812186443248858,0.30845937,-2.553973607801856,0.270912,1.0069356,19.700117,20.85222,18.672062,2.1801586
957160903,2927242867626357248,101.60228657300316,-20.143522355786743,1.4383120629344381,1.3734311,-0.8671842752678813,0.7367208,-0.07856410560506753,0.6932306,1.002577,20.694662,21.182089,20.074162,1.1079273
1250880304,2927243039426916224,101.78649416366662,-20.23978862987603,1.2510796216559092,3.4351616,1.4401057565478181,0.32818392,1.1587507740504766,0.26804698,1.0558647,19.754398,20.725628,18.529839,2.1957893
1020489014,2927206274506201088,101.29355211452638,-20.521843976330487,1.19394547327237,2.1544852,-2.640678496323106,0.5203433,-0.12406308393511489,0.34139138,1.0187113,20.261164,21.192303,19.209856,1.9824467
